son,D1_S1_L002_R1_003.fastq.gz,D1_S1_L002_R2_003.fastq.gz
mom,D3_S3_L001_R1_004.fastq.gz,D3_S3_L001_R2_004.fastq.gz
dad,D2_S2_L002_R1_001.fastq.gz,D2_S2_L002_R2_001.fastq.gz
